player_link,player_name,regular_fgp,hot_fgp,num_hot_shots
/players/m/mcderdo01.html,Doug McDermott,0.402,0.39285714285714285,28
/players/j/johnsni01.html,Nick Johnson,0.347,0.38461538461538464,13
/players/d/derozde01.html,DeMar DeRozan,0.413,0.4205607476635514,321
/players/b/batumni01.html,Nicolas Batum,0.4,0.38961038961038963,154
/players/w/westda01.html,David West,0.471,0.42727272727272725,220
/players/a/anderal01.html,Alan Anderson,0.443,0.415929203539823,113
/players/a/arizatr01.html,Trevor Ariza,0.402,0.4122448979591837,245
/players/b/bogdabo02.html,Bojan Bogdanovic,0.453,0.49710982658959535,173
/players/m/mohamna01.html,Nazr Mohammed,0.433,0.75,4
/players/r/riverau01.html,Austin Rivers,0.409,0.425,120
/players/h/harriga01.html,Gary Harris,0.304,0.2894736842105263,38
/players/m/milleda01.html,Darius Miller,0.143,0.0,1
/players/s/smartma01.html,Marcus Smart,0.367,0.39090909090909093,110
/players/f/frankja01.html,Jamaal Franklin,0.5,0.0,1
/players/p/parketo01.html,Tony Parker,0.486,0.48242811501597443,313
/players/l/larkish01.html,Shane Larkin,0.433,0.3263157894736842,95
/players/m/mayooj01.html,O.J. Mayo,0.422,0.41784037558685444,213
/players/m/millean02.html,Andre Miller,0.5,0.5409836065573771,61
/players/b/brownsh01.html,Shannon Brown,0.368,0.0,2
/players/m/mcneaje01.html,Jerel McNeal,0.273,0.5,2
/players/k/kamanch01.html,Chris Kaman,0.515,0.4863013698630137,146
/players/p/parkeja01.html,Jabari Parker,0.49,0.4880952380952381,84
/players/t/thomala01.html,Lance Thomas,0.412,0.4636363636363636,110
/players/h/hensojo01.html,John Henson,0.566,0.55,100
/players/r/randoza01.html,Zach Randolph,0.487,0.49206349206349204,315
/players/k/kanteen01.html,Enes Kanter,0.519,0.5118343195266272,338
/players/h/hendege02.html,Gerald Henderson,0.437,0.4351145038167939,262
/players/a/anderky01.html,Kyle Anderson,0.348,0.3888888888888889,18
/players/s/smithis01.html,Ish Smith,0.39,0.47572815533980584,103
/players/h/hillso01.html,Solomon Hill,0.396,0.3291139240506329,158
/players/m/morrima03.html,Marcus Morris,0.434,0.4298642533936652,221
/players/c/covinro01.html,Robert Covington,0.396,0.3853658536585366,205
/players/l/leoname01.html,Meyers Leonard,0.51,0.5217391304347826,69
/players/f/favorde01.html,Derrick Favors,0.525,0.4984520123839009,323
/players/s/smithru01.html,Russ Smith,0.32,0.42857142857142855,7
/players/a/adamsst01.html,Steven Adams,0.544,0.5339805825242718,103
/players/u/udrihbe01.html,Beno Udrih,0.487,0.5251798561151079,139
/players/b/booketr01.html,Trevor Booker,0.487,0.45528455284552843,123
/players/g/gasolma01.html,Marc Gasol,0.494,0.44854881266490765,379
/players/j/johnsch04.html,Chris Johnson,0.403,0.46153846153846156,26
/players/h/hilarne01.html,Nene Hilario,0.511,0.489247311827957,186
/players/l/lavinza01.html,Zach LaVine,0.422,0.430622009569378,209
/players/w/wrighdo01.html,Dorell Wright,0.379,0.36585365853658536,41
/players/s/scolalu01.html,Luis Scola,0.467,0.43434343434343436,198
/players/g/greenja01.html,JaMychal Green,0.574,0.42857142857142855,14
/players/r/rushbr01.html,Brandon Rush,0.204,0.0,3
/players/l/lillada01.html,Damian Lillard,0.434,0.4229934924078091,461
/players/d/dawkian01.html,Andre Dawkins,0.167,0.0,1
/players/b/blueva01.html,Vander Blue,0.3,0.16666666666666666,6
/players/c/calatni01.html,Nick Calathes,0.421,0.4375,64
/players/d/dinwisp01.html,Spencer Dinwiddie,0.302,0.3103448275862069,29
/players/e/exumda01.html,Dante Exum,0.349,0.3088235294117647,68
/players/s/sloando01.html,Donald Sloan,0.408,0.46875,96
/players/b/bealbr01.html,Bradley Beal,0.427,0.3816793893129771,262
/players/j/jonespe01.html,Perry Jones,0.397,0.3111111111111111,45
/players/s/stiemgr01.html,Greg Stiemsma,0.75,1.0,1
/players/o/olynyke01.html,Kelly Olynyk,0.475,0.49019607843137253,153
/players/s/salmojo01.html,John Salmons,0.333,0.6,5
/players/d/dalemsa01.html,Samuel Dalembert,0.438,0.34615384615384615,26
/players/g/goberru01.html,Rudy Gobert,0.604,0.5154639175257731,97
